time,value
2025-06-05T15:16:20.284106454Z,376
2025-06-05T15:17:04.933933451Z,374
2025-06-05T15:17:49.585179615Z,375
2025-06-05T15:18:34.279075611Z,374
2025-06-05T15:19:18.900166598Z,373
2025-06-05T15:20:48.215057495Z,378
2025-06-05T15:21:32.894618734Z,382
2025-06-05T15:23:02.161182992Z,373
2025-06-05T15:23:46.84932542Z,374
2025-06-05T15:24:31.499644319Z,373
2025-06-05T15:25:16.162585928Z,371
2025-06-05T15:26:00.832151238Z,375
2025-06-05T15:26:45.48440228Z,373
2025-06-05T15:28:14.774168723Z,374
2025-06-05T15:28:59.44657025Z,380
2025-06-05T15:29:44.115246226Z,374
2025-06-05T15:31:13.409117578Z,375
2025-06-05T15:31:58.070366728Z,371
2025-06-05T15:32:42.730000237Z,375
2025-06-05T15:33:27.374825312Z,374
2025-06-05T15:34:56.670824093Z,376
2025-06-05T15:35:41.33425151Z,374
2025-06-05T15:38:39.915446741Z,373
2025-06-05T15:39:24.532893644Z,375
2025-06-05T15:40:09.198622533Z,372
2025-06-05T15:40:53.845855223Z,374
2025-06-05T15:41:38.47378977Z,372
2025-06-05T15:42:23.11045096Z,374
2025-06-05T15:43:07.763693243Z,372
2025-06-05T15:44:37.030918503Z,379
2025-06-05T15:45:21.690323838Z,373
2025-06-05T15:46:06.347971205Z,372
2025-06-05T15:47:35.63463875Z,373
2025-06-05T15:48:20.272538071Z,380
2025-06-05T15:49:04.910977775Z,376
2025-06-05T15:49:49.571649325Z,372
2025-06-05T15:50:34.22224888Z,373
2025-06-05T15:51:18.869407123Z,371
2025-06-05T15:52:03.503668559Z,375
2025-06-05T15:52:48.14905532Z,382
2025-06-05T15:53:32.814816673Z,373
2025-06-05T15:54:17.470283083Z,374
2025-06-05T15:55:02.109510752Z,372
2025-06-05T15:55:46.767199062Z,374
2025-06-05T15:57:16.054738455Z,372
2025-06-05T15:58:00.710249514Z,373
2025-06-05T15:58:45.356935153Z,372
2025-06-05T15:59:30.00766362Z,374
2025-06-05T16:00:59.278731017Z,373
2025-06-05T16:02:28.589576883Z,374
2025-06-05T16:03:13.242269481Z,372
2025-06-05T16:03:57.905212546Z,375
2025-06-05T16:04:42.565092377Z,373
2025-06-05T16:05:27.227171716Z,375
2025-06-05T16:06:11.887521164Z,372
2025-06-05T16:06:56.55035994Z,371
2025-06-05T16:07:41.211517666Z,375
2025-06-05T16:08:25.86197893Z,374
2025-06-05T16:09:10.489827001Z,373
2025-06-05T16:09:55.136617075Z,372
2025-06-05T16:10:39.800895361Z,380
2025-06-05T16:11:24.469338702Z,372
2025-06-05T16:13:38.408279712Z,374
2025-06-05T16:14:23.053484784Z,381
2025-06-05T16:15:07.78075743Z,372
2025-06-05T16:17:21.677801227Z,374
2025-06-05T16:18:06.326757605Z,375
2025-06-05T16:18:50.990893015Z,380
2025-06-05T16:19:35.662321051Z,372
2025-06-05T16:21:04.962826682Z,375
2025-06-05T16:21:49.626880279Z,374
2025-06-05T16:22:34.283572211Z,372
2025-06-05T16:23:18.913973213Z,374
2025-06-05T16:24:03.557098136Z,373
2025-06-05T16:25:32.848603244Z,372
2025-06-05T16:26:17.518233926Z,371
2025-06-05T16:27:02.166284956Z,372
2025-06-05T16:27:46.829873873Z,373
2025-06-05T16:28:31.492122127Z,375
2025-06-05T16:30:45.395797105Z,373
2025-06-05T16:32:14.708556944Z,372
2025-06-05T16:32:59.367345009Z,373
2025-06-05T16:34:28.649620501Z,374
2025-06-05T16:35:57.928592628Z,373
2025-06-05T16:36:42.588093992Z,374
2025-06-05T16:37:27.237327442Z,372
2025-06-05T16:38:11.871351681Z,373
2025-06-05T16:38:56.521128089Z,374
2025-06-05T16:39:41.14653768Z,373
2025-06-05T16:41:10.446584704Z,372
2025-06-05T16:41:55.101443779Z,376
2025-06-05T16:42:39.740964052Z,373
2025-06-05T16:44:09.024904262Z,374
2025-06-05T16:44:53.690738511Z,372
2025-06-05T16:45:38.353020068Z,373
2025-06-05T16:47:07.642966676Z,372
2025-06-05T16:48:36.913604345Z,374
2025-06-05T16:49:21.564146366Z,372
2025-06-05T16:50:06.233595653Z,373
2025-06-05T16:50:50.867995034Z,372
2025-06-05T16:51:35.520135546Z,373
2025-06-05T16:52:20.185931827Z,375
2025-06-05T16:53:49.483588192Z,374
2025-06-05T16:56:48.062605628Z,372
2025-06-05T16:57:32.718797154Z,374
2025-06-05T16:58:17.387987239Z,377
2025-06-05T16:59:02.051511248Z,374
2025-06-05T17:00:31.342010938Z,372
2025-06-05T17:01:16.008843606Z,374
2025-06-05T17:02:00.65766557Z,378
2025-06-05T17:02:45.28301189Z,373
2025-06-05T17:04:14.576908971Z,374
2025-06-05T17:04:59.206676718Z,383
2025-06-05T17:05:43.865887975Z,372
2025-06-05T17:06:28.513797151Z,373
2025-06-05T17:07:13.172651932Z,372
2025-06-05T17:07:57.839030035Z,374
2025-06-05T17:08:42.481154816Z,373
2025-06-05T17:11:41.043345601Z,371
2025-06-05T17:12:25.699867365Z,375
2025-06-05T17:13:54.988925133Z,373
2025-06-05T17:14:39.656458075Z,374
2025-06-05T17:15:24.310410516Z,375
2025-06-05T17:16:08.960361097Z,374
2025-06-05T17:16:53.63152395Z,372
2025-06-05T17:17:38.292461478Z,375
2025-06-05T17:18:22.938674129Z,373
2025-06-05T17:20:36.880833059Z,374
2025-06-05T17:21:21.538416562Z,375
2025-06-05T17:22:06.208644654Z,379
2025-06-05T17:22:50.859361207Z,372
2025-06-05T17:23:35.525627392Z,368
2025-06-05T17:24:20.185091871Z,373
2025-06-05T17:25:04.853635416Z,379
2025-06-05T17:25:49.542919437Z,374
2025-06-05T17:26:34.169398716Z,375
2025-06-05T17:27:18.811966382Z,379
2025-06-05T17:28:03.479705439Z,372
2025-06-05T17:28:48.144146665Z,373
2025-06-05T17:29:32.786574959Z,372
2025-06-05T17:30:17.440286703Z,374
2025-06-05T17:31:46.725897837Z,373
2025-06-05T17:32:31.38063175Z,375
2025-06-05T17:33:16.027185404Z,373
2025-06-05T17:34:00.657537998Z,374
2025-06-05T17:34:45.32669705Z,375
2025-06-05T17:35:29.990785103Z,376
2025-06-05T17:36:14.655006973Z,373
2025-06-05T17:36:59.292263245Z,375
2025-06-05T17:37:43.963723997Z,372
2025-06-05T17:38:28.624992591Z,373
2025-06-05T17:39:57.906939703Z,374
2025-06-05T17:41:27.17688483Z,373
2025-06-05T17:42:11.823662135Z,374
2025-06-05T17:42:56.470968728Z,371
2025-06-05T17:43:41.117481528Z,374
2025-06-05T17:44:25.752093228Z,373
2025-06-05T17:45:10.409621891Z,374
2025-06-05T17:46:39.694872079Z,371
2025-06-05T17:47:24.330485664Z,374
2025-06-05T17:51:52.167891548Z,377
2025-06-05T17:52:36.817461626Z,381
2025-06-05T17:53:21.477896707Z,373
2025-06-05T17:54:06.127534184Z,379
2025-06-05T17:54:50.779940813Z,373
2025-06-05T17:56:20.058235233Z,372
2025-06-05T17:57:04.709915619Z,373
2025-06-05T17:57:49.352576852Z,374
2025-06-05T17:58:33.996519894Z,373
2025-06-05T18:00:03.295645544Z,372
2025-06-05T18:00:47.961250408Z,374
2025-06-05T18:01:32.62018535Z,375
2025-06-05T18:02:17.256350317Z,373
2025-06-05T18:03:01.912595586Z,374
2025-06-05T18:03:46.560537401Z,372
2025-06-05T18:04:31.239253655Z,375
2025-06-05T18:05:15.857684659Z,373
2025-06-05T18:06:45.123894617Z,372
2025-06-05T18:07:29.793875138Z,374
2025-06-05T18:08:14.452540626Z,371
2025-06-05T18:08:59.110225875Z,373
2025-06-05T18:10:28.370208132Z,375
2025-06-05T18:11:13.025051791Z,374
2025-06-05T18:11:57.665535698Z,375
2025-06-05T18:13:26.952553325Z,373
2025-06-05T18:14:11.589895838Z,374
2025-06-05T18:14:56.228412314Z,379
2025-06-05T18:15:40.891819181Z,372
2025-06-05T18:16:25.559235671Z,374
2025-06-05T18:17:10.217393309Z,373
2025-06-05T18:17:54.878796004Z,372
2025-06-05T18:18:39.537165968Z,373
2025-06-05T18:22:22.717335534Z,374
2025-06-05T18:26:05.894153851Z,373
2025-06-05T18:26:50.537991724Z,374
2025-06-05T18:27:35.191440126Z,372
2025-06-05T18:28:19.852143379Z,374
2025-06-05T18:29:04.511652948Z,372
2025-06-05T18:29:49.155262678Z,378
2025-06-05T18:30:33.800564186Z,373
2025-06-05T18:32:03.074223916Z,374
2025-06-05T18:34:16.968589244Z,373
2025-06-05T18:35:46.256471002Z,374
2025-06-05T18:36:30.88472378Z,373
2025-06-05T18:38:00.12758476Z,372
2025-06-05T18:38:44.754635774Z,373
2025-06-05T18:39:29.401409445Z,375
2025-06-05T18:40:14.07897061Z,376
2025-06-05T18:40:58.727688598Z,372
2025-06-05T18:41:43.387272771Z,374
2025-06-05T18:42:28.033321991Z,373
2025-06-05T18:43:12.69980184Z,377
2025-06-05T18:43:57.346132221Z,373
2025-06-05T18:44:41.98712522Z,380
2025-06-05T18:45:26.635279974Z,373
2025-06-05T18:48:25.170652084Z,372
2025-06-05T18:49:54.429673566Z,375
2025-06-05T18:51:23.724239907Z,374
2025-06-05T18:52:08.385173061Z,373
2025-06-05T18:52:53.01164486Z,370
2025-06-05T18:53:37.676553499Z,375
2025-06-05T18:54:22.311629264Z,374
2025-06-05T18:55:51.602778722Z,373
2025-06-05T18:57:20.893797612Z,374
2025-06-05T18:58:50.178506962Z,379
2025-06-05T18:59:34.802689845Z,374
2025-06-05T19:00:19.435646051Z,373
2025-06-05T19:01:04.070277869Z,375
2025-06-05T19:03:17.980659506Z,373
2025-06-05T19:04:02.624590204Z,374
2025-06-05T19:05:31.926093528Z,378
2025-06-05T19:06:16.570073953Z,374
2025-06-05T19:07:01.229925037Z,375
2025-06-05T19:07:45.88604299Z,373
2025-06-05T19:08:30.541609782Z,372
2025-06-05T19:09:15.207980063Z,375
